id_commune,nom_commune,arrondissement,adm2_pcode,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,cluster_kmeans,cluster_cha,niveau_iift
C-001,Port-au-Prince,Port-au-Prince,HT0111,10.041542268552238,-3.2586781994411558,-4.131774015433923,0.6023841744271413,0.2261816663855066,-1.3169378660626905,1,0,IIFT_Extrême
C-002,Delmas,Port-au-Prince,HT0112,9.727956236929236,-1.867859424927314,-4.137420371236566,0.7220363463839387,0.6880105113201244,-1.63221872251169,1,0,IIFT_Extrême
C-003,Cité Soleil,Port-au-Prince,HT0117,4.425250547767277,0.1699948924483234,-2.6793873326153865,2.4860330162723425,2.501843548111734,-1.6777777496269295,1,0,IIFT_Extrême
C-004,Tabarre,Port-au-Prince,HT0118,6.085278579012329,-1.441389870642008,-3.198570111730737,1.6979630486197417,0.4373711952363669,-1.3983958923137043,1,0,IIFT_Extrême
C-005,Carrefour,Port-au-Prince,HT0113,8.13231300239148,-1.6707646367861897,-1.5229070582085649,0.7902990784074619,-0.3747349632474138,-1.560038180939659,1,0,IIFT_Extrême
C-006,Pétion-Ville,Port-au-Prince,HT0114,9.027930545151063,-2.9463728858586826,-1.854824925850612,-1.7988933600084014,1.0014388636747773,-0.0884944416087012,1,0,IIFT_Extrême
C-007,Kenscoff,Port-au-Prince,HT0115,0.9020687144432328,2.699721159041664,0.9954106104623373,-0.6775000209550971,1.7055571416391695,0.4036078797787551,2,1,IIFT_Moyen
C-008,Gressier,Port-au-Prince,HT0116,1.7676447533784008,1.003326129813772,0.7628377441356846,-0.7655140413382688,-0.4883753644587391,0.3771654906535107,2,1,IIFT_Moyen
C-009,Léogâne,Léogâne,HT0121,6.188037350039545,-0.7635701534443071,1.709819555399304,-0.857216489853379,1.2854018970333982,1.3663634269861606,1,0,IIFT_Extrême
C-010,Petit-Goâve,Léogâne,HT0122,3.681292055760669,-0.2231746754530323,1.326482504257752,0.9792339490189992,-0.6750023317779551,-1.7251880682684182,1,0,IIFT_Extrême
C-011,Grand-Goâve,Léogâne,HT0123,1.412217206296546,1.668083458764205,1.3603553081033657,0.2613410554556255,1.0630257378254873,-1.2500012309242916,2,1,IIFT_Moyen
C-012,Croix-des-Bouquets,Croix-des-Bouquets,HT0131,5.976642933348959,-1.994307711472313,1.715793526513796,-0.094594781496098,-0.7182256937680535,-0.1740077147356248,1,0,IIFT_Extrême
C-013,Thomazeau,Croix-des-Bouquets,HT0132,-0.1671060626368124,2.576349140641739,1.4543754326810003,0.6487586410000417,-0.7378953377079606,-1.2459927591511375,2,1,IIFT_Moyen
C-014,Ganthier,Croix-des-Bouquets,HT0133,1.1937440745685604,1.6417868327231278,1.3474163903651066,0.3929659082080105,-1.659879168455912,-0.069648671958666,2,1,IIFT_Moyen
C-015,Cornillon,Croix-des-Bouquets,HT0134,-1.915975629740548,-0.4965260148567837,0.5632837367469359,0.8846949759888955,-0.8492085477298159,0.3888465302842585,0,2,IIFT_Très_faible
C-016,Fonds-Verrettes,Croix-des-Bouquets,HT0135,0.2075679114491591,2.278137059101774,0.9052103692950768,0.3313270643395462,-0.4126172483244634,-0.4231304685467042,2,1,IIFT_Moyen
C-017,Arcahaie,Arcahaie,HT0141,3.1903621889773066,1.561018981340475,2.2392215851207697,0.0376595456830505,2.270191345250678,-0.8939992643153971,2,1,IIFT_Moyen
C-018,Cabaret,Arcahaie,HT0142,3.731585079995028,0.995392234035622,1.4760469199584294,0.4239309120978547,0.8888590700722184,0.6302325591651076,2,0,IIFT_Moyen
C-019,Anse-à-Galets,La Gonâve,HT0151,2.5676120165062533,1.7998301010280189,1.4777263517709245,-0.0066921164163866,-2.142564617500236,-0.7991017209764282,2,1,IIFT_Moyen
C-020,Pointe-à-Raquette,La Gonâve,HT0152,-0.6364848221680772,2.014758479858027,2.8991945680977182,-1.5987036385416786,0.3902917922216117,-1.2569520988000458,2,1,IIFT_Moyen
C-021,Jacmel,Jacmel,HT0211,3.706090729157258,-4.872537961897828,0.8562135277639842,-2.296894537638556,-1.98174974542224,-0.0843169836549242,1,2,IIFT_Extrême
C-022,Marigot,Jacmel,HT0212,-0.0818519634187804,-2.376131571097704,0.7528791873674078,0.1773636236558161,0.153042721899607,-0.1662512534021563,0,2,IIFT_Très_faible
C-023,Cayes-Jacmel,Jacmel,HT0213,-1.3278516041881352,-1.175592629689896,-0.5925632276468831,0.1026566359870017,0.2653099693618121,0.5028071237811877,0,2,IIFT_Très_faible
C-024,La Vallée de Jacmel,Jacmel,HT0214,-0.6250761877272082,-1.5495324235675851,-0.7028057788249207,-2.1448381465712085,-0.7988805489568609,0.7010281974519429,0,2,IIFT_Très_faible
C-025,Bainet,Bainet,HT0221,-2.0224687022603383,-1.7927030600188265,0.665095224052883,0.2102114137654561,-0.6821166283548017,-0.1524705478885452,0,2,IIFT_Très_faible
C-026,Côtes-de-Fer,Bainet,HT0222,-2.7762485965988057,-1.708302586084224,-0.3349662823009708,-0.402324701243578,-0.1777933798915473,-0.080545521677192,0,2,IIFT_Très_faible
C-027,Belle-Anse,Belle-Anse,HT0231,-1.8546976016276249,-1.9658807286192976,1.6686250924361257,1.3803580756010003,-0.0902506807172971,0.5485652322228652,0,2,IIFT_Très_faible
C-028,Grand-Gosier,Belle-Anse,HT0232,-3.767593273740136,0.2432784782005914,-0.5267715169713049,0.390754272352295,1.3141114875338578,-1.2615558734158936,0,2,IIFT_Très_faible
C-029,Thiotte,Belle-Anse,HT0233,-0.3840083757831097,-0.9174614311007,0.364674372775755,-0.3220396589037825,-1.324191293201185,0.0248625451570722,0,2,IIFT_Très_faible
C-030,Anse-à-Pitre,Belle-Anse,HT0234,-0.3178668504161869,2.330302360128935,0.89388418781581,0.3584167476402809,-0.5157178007216776,-2.218242631090255,2,1,IIFT_Moyen
C-031,Cap-Haïtien,Cap-Haïtien,HT0311,7.943704665929451,-0.8042530297009692,-3.2508073177068098,0.269572507184139,-0.0423608468043331,0.1352099368725765,1,0,IIFT_Extrême
C-032,Quartier-Morin,Cap-Haïtien,HT0312,-2.460355528475427,-1.343751000102519,-1.029666824029345,-1.0265552832502067,0.0624183846316926,-1.681231267587211,0,2,IIFT_Très_faible
C-033,Limonade,Cap-Haïtien,HT0313,1.259462339466464,2.837765255824661,0.1683449578973416,0.4268143584603983,0.6757293595273767,1.0742636185760444,2,1,IIFT_Moyen
C-034,Acul-du-Nord,Acul-du-Nord,HT0321,-0.5908137985562341,1.733639912315326,-0.2091003819015753,1.749917930320037,-0.4323203316454019,-0.4448625376773295,2,1,IIFT_Moyen
C-035,Plaine-du-Nord,Acul-du-Nord,HT0322,0.7919826088266013,1.6987093618532154,-0.3435047065474751,0.0992335691984006,1.3107698022428091,1.016737294922745,2,1,IIFT_Moyen
C-036,Milot,Acul-du-Nord,HT0323,1.6840381052235995,2.2170212435229413,-1.0641626817040175,-0.1489983305521801,-0.2058506859111112,0.3412107055210156,2,1,IIFT_Moyen
C-037,Grande-Rivière-du-Nord,Grande-Rivière-du-Nord,HT0331,-0.2857098513557742,2.5936090435588515,0.0153662741562625,-0.3171195807498791,1.1975933916999053,-0.1801967972898093,2,1,IIFT_Moyen
C-038,Bahon,Grande-Rivière-du-Nord,HT0332,-2.925684819086017,-0.119255732421953,-1.3508439125361078,-0.8914858368856252,-0.7171935639401982,0.3509107208179563,0,2,IIFT_Très_faible
C-039,Saint-Raphaël,Saint-Raphaël,HT0341,1.0192869949764756,0.6466244252254879,0.0519837974574933,-4.221116148470937,0.346237876338006,0.9574816053983544,2,2,IIFT_Moyen
C-040,Dondon,Saint-Raphaël,HT0342,-1.4260703142415003,2.1277385709290004,0.0043229304731113,1.7634616771212952,-0.1995774013603943,-0.4746671818072411,2,1,IIFT_Moyen
C-041,Ranquitte,Saint-Raphaël,HT0343,-3.532280596726256,-0.1502229286764217,-1.4103390128069162,0.6391683708353714,1.240581557733021,0.3043090138830393,0,2,IIFT_Très_faible
