id_commune,nom_commune,arrondissement,adm2_pcode,score_acp_dim1_oriente,IIFT,classe_IIFT,IIFT_multi_axes_robustesse
C-130,Miragoâne,Miragoâne,HT1011,3.408305273006641,52.11932564772809,Très élevé,54.1202173490767
C-131,Petite-Rivière-de-Nippes,Miragoâne,HT1012,-0.4534258378831998,24.24420376067343,Moyen,25.88289762709084
C-132,Fonds-des-Nègres,Miragoâne,HT1013,0.4755286557601107,30.94967314584448,Élevé,27.02674996643867
C-133,Paillant,Miragoâne,HT1014,0.254251584972897,29.35242954138681,Élevé,25.209815629220085
C-134,Anse-à-Veau,Anse-à-Veau,HT1021,-2.3314254295781986,10.688245041871195,Faible,8.78504835557187
C-135,Petit-Trou-de-Nippes,Anse-à-Veau,HT1022,-0.08714743668900234,26.88811002568811,Moyen,33.709985311926154
C-136,L'Asile,Anse-à-Veau,HT1023,-0.9416831713424364,20.71981734131748,Moyen,16.03792932496135
C-137,Arnaud,Anse-à-Veau,HT1024,-2.4906294139290743,9.53906340771469,Faible,11.003225361907365
C-138,Plaisance-du-Sud,Anse-à-Veau,HT1025,-2.9627278270393957,6.1313168737767185,Très faible,7.539484659378637
C-139,Baradères,Baradères,HT1031,-2.419241473015179,10.054362763650985,Faible,10.617752084556539
C-140,Grand-Boucan,Baradères,HT1032,-1.2092183953352063,18.78866865081207,Moyen,32.07860314265131
