variable,type,echelle,interpretation,methode
IIFT,Indice synthétique continu,0-100,"Plus la valeur est élevée, plus l'inclusion financière territoriale est forte relativement aux communes étudiées.","Score ACP Dim1 orienté selon les variables positives/négatives, puis normalisation min-max 0-100."
classe_IIFT,Classe ordinale,Très faible à Très élevé,Classe de positionnement relatif de la commune selon l'IIFT.,Découpage de l'IIFT en cinq classes par quantiles lorsque possible.
score_acp_dim1_oriente,Score factoriel brut,Score ACP non borné,Score de la commune sur le premier axe ACP après orientation du signe.,Dim1 multiplié par +1 ou -1 afin que les variables positives d'inclusion augmentent avec le score.
IIFT_multi_axes_robustesse,Indice synthétique continu (contrôle de robustesse),0-100,Variante de l'IIFT combinant plusieurs axes ACP pondérés par variance expliquée. Sert uniquement à vérifier la stabilité de l'IIFT principal (Dim1) — non retenue comme indice de référence sauf décision contraire dans le rapport.,"Moyenne pondérée (poids = variance expliquée) des 6 premiers axes ACP, chacun orienté puis standardisé (z-score) avant pondération."
