id_commune,nom_commune,arrondissement,adm2_pcode,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24
C-001,Port-au-Prince,Port-au-Prince,HT0111,10.041542268552238,-3.2586781994411553,-4.131774015433923,0.6023841744271413,0.2261816663855066,-1.3169378660626903,0.41896358558634167,0.19078174941709886,-0.15767104007151322,-0.19133104594646236,-1.3922762962968434,1.2172739107296464,0.1291522879305596,-0.6895233321523854,-0.9608429372435969,0.6942889310205579,-0.4475003404697165,0.004745627573772863,-0.4089625901485049,-1.0075730951182826,-0.2999441088935068,-0.3380320890201549,0.06558171280593422,-0.0006677993742053359
C-002,Delmas,Port-au-Prince,HT0112,9.727956236929236,-1.867859424927314,-4.137420371236566,0.7220363463839387,0.6880105113201244,-1.63221872251169,-0.38063091727674553,-0.7753457973004501,0.6944614170617331,0.13077063523221705,-0.45562632008695975,-0.7270984143040108,0.2004295891640922,-0.2984065095168862,-0.3464182390885252,1.1656435270046646,0.19462449100802648,-0.3042301237439412,0.21799334462951706,0.04311717225312861,-0.4600832108852044,0.06630091328664217,-0.06678737435313488,-0.004169093373654449
C-003,Cité Soleil,Port-au-Prince,HT0117,4.425250547767277,0.16999489244832344,-2.6793873326153865,2.4860330162723425,2.501843548111734,-1.6777777496269295,-1.4837616638042528,1.5177177330359397,0.6558771440507605,0.4630440696982231,-0.42811102450324234,0.9511813450582044,0.8189535288155848,-0.36813478514843817,-0.07778481948126703,-1.7536571659116285,-0.6877830290536188,-0.461988759516299,-0.5028763484478728,0.5899744720078209,0.5199560915340942,-0.006069655027908631,0.08032517350973806,-0.009610169998762854
C-004,Tabarre,Port-au-Prince,HT0118,6.085278579012329,-1.4413898706420079,-3.1985701117307372,1.6979630486197417,0.4373711952363669,-1.3983958923137045,-1.6704982540836941,-0.5333744925524879,1.6959900441575195,0.7824145403480509,-0.34992784997976417,-1.3139353358805663,0.08380672825138702,0.08081275223737436,0.6392907390075423,0.04480675168075875,-0.18774314454405142,0.17087012667695597,0.04478289353607062,0.6415167467428696,-0.06038336421236967,0.08279413813939458,-0.05655458004534592,-0.005198353892175437
C-005,Carrefour,Port-au-Prince,HT0113,8.13231300239148,-1.6707646367861895,-1.5229070582085649,0.7902990784074619,-0.3747349632474138,-1.560038180939659,1.4081014478690936,0.4574905247167324,-0.6405595389497797,-0.2453912117156017,0.7179148903100516,-0.8935060493179896,0.29475732176334324,-0.1647218823310603,-0.12608399069010057,0.17259483499124723,0.26484284294225036,0.5384438528617841,0.23193134312452632,0.02575796900264881,0.37964903070573486,-0.4069591452534082,-0.05868362939769565,0.00423640457954497
C-006,Pétion-Ville,Port-au-Prince,HT0114,9.027930545151065,-2.9463728858586826,-1.8548249258506122,-1.7988933600084014,1.0014388636747773,-0.08849444160870128,0.6316172809098587,-0.7606451739011102,0.5286066666194201,2.270710640300869,-0.7828429871877799,-0.28300858976900634,-1.390587669806509,0.09712061475653465,0.010157252246776502,0.9703341309360601,1.2635361415930524,-0.04612905789961187,0.07997097276685348,0.09184943116005628,-0.25762544882859284,0.040350547650640424,-0.09935613487233771,0.005684245414866794
C-007,Kenscoff,Port-au-Prince,HT0115,0.9020687144432329,2.699721159041664,0.9954106104623373,-0.6775000209550971,1.7055571416391697,0.4036078797787551,-0.18165381632202876,-0.46898091443215695,-1.07691078114929,-1.6227419240084817,-0.00048329719027904034,0.7268517237868131,0.10544900267535473,-0.07743667052912934,-0.3563223885323605,0.26634530695221165,-0.09602327638845878,0.334170525112198,-0.9853158344064354,-0.27364308281809246,0.23248221398309396,0.07070773491325691,-0.029080516293814425,0.00016533765642955998
C-008,Gressier,Port-au-Prince,HT0116,1.7676447533784008,1.0033261298137721,0.7628377441356846,-0.7655140413382688,-0.48837536445873914,0.3771654906535107,-2.570318222956065,-2.4146099231114,0.5089009214426695,0.17778309940004056,0.0642895668290332,-0.06267721550126101,1.359338686103319,-0.26942692552592573,0.41447356921924516,-0.2547205105935715,0.3496935832092684,1.4542913631350218,0.046767515741108316,-0.10834061991953983,0.032987579074924625,0.1407360959923434,-0.2802207938936704,0.001363773187199181
C-009,Léogâne,Léogâne,HT0121,6.188037350039545,-0.7635701534443071,1.7098195553993039,-0.857216489853379,1.2854018970333982,1.3663634269861606,-0.8574802855684494,0.027467248037800915,-0.13162553406861136,0.7071612655145438,0.20622815707489336,0.18337941473493147,-0.45093558156043756,0.4570510207640768,-0.06041900243796334,-0.21228494551070123,-0.5358696948896268,0.6550596221058298,0.17928070755484599,-0.3615382247580604,0.23457802018498283,-0.36584530690640477,0.09235328145249164,0.0011370909730623654
C-010,Petit-Goâve,Léogâne,HT0122,3.6812920557606685,-0.22317467545303238,1.326482504257752,0.9792339490189992,-0.6750023317779551,-1.7251880682684182,0.8756722701394895,0.37785043971783716,0.8965812429608383,0.16960915258093504,-0.34648138399124756,-1.8863390120337626,0.20747548228421636,0.3063921061643348,-0.1819504904187144,-0.7122920159226729,-0.24643604197488433,0.0630272102857857,-0.10554283503960386,0.0014587283868386699,0.3229959305410482,0.4204200642687606,0.04421807004044061,0.002836719264674631
