id_commune,nom_commune,arrondissement,cluster_kmeans,quartile_iift,IIFT,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6
C-001,Port-au-Prince,Port-au-Prince,1,Q4 — Élevé,100.0,10.041542268552238,-3.258678199441156,-4.131774015433923,0.6023841744271413,0.2261816663855066,-1.3169378660626905
C-002,Delmas,Port-au-Prince,1,Q4 — Élevé,97.73644290538012,9.727956236929236,-1.867859424927314,-4.137420371236566,0.7220363463839387,0.6880105113201244,-1.63221872251169
C-003,Cité Soleil,Port-au-Prince,1,Q4 — Élevé,59.459938619583866,4.425250547767277,0.1699948924483234,-2.6793873326153865,2.4860330162723425,2.501843548111734,-1.6777777496269295
C-004,Tabarre,Port-au-Prince,1,Q4 — Élevé,71.44251388910351,6.085278579012329,-1.441389870642008,-3.198570111730737,1.6979630486197417,0.4373711952363669,-1.3983958923137043
C-005,Carrefour,Port-au-Prince,1,Q4 — Élevé,86.21861621735238,8.13231300239148,-1.6707646367861897,-1.5229070582085649,0.7902990784074619,-0.3747349632474138,-1.560038180939659
C-006,Pétion-Ville,Port-au-Prince,1,Q4 — Élevé,92.6834495917442,9.027930545151063,-2.9463728858586826,-1.854824925850612,-1.7988933600084014,1.0014388636747773,-0.0884944416087012
C-007,Kenscoff,Port-au-Prince,2,Q3 — Moyen-élevé,34.02856594911989,0.9020687144432328,2.699721159041664,0.9954106104623373,-0.6775000209550971,1.7055571416391695,0.4036078797787551
C-008,Gressier,Port-au-Prince,2,Q4 — Élevé,40.27655082817897,1.7676447533784008,1.003326129813772,0.7628377441356846,-0.7655140413382688,-0.4883753644587391,0.3771654906535107
C-009,Léogâne,Léogâne,1,Q4 — Élevé,72.18425721226501,6.188037350039545,-0.7635701534443071,1.709819555399304,-0.857216489853379,1.2854018970333982,1.3663634269861606
C-010,Petit-Goâve,Léogâne,1,Q4 — Élevé,54.08982530819512,3.681292055760669,-0.2231746754530323,1.326482504257752,0.9792339490189992,-0.6750023317779551,-1.7251880682684182
C-011,Grand-Goâve,Léogâne,2,Q4 — Élevé,37.710969250273465,1.412217206296546,1.668083458764205,1.3603553081033657,0.2613410554556255,1.0630257378254873,-1.2500012309242916
C-012,Croix-des-Bouquets,Croix-des-Bouquets,1,Q4 — Élevé,70.6583495396992,5.976642933348959,-1.994307711472313,1.715793526513796,-0.094594781496098,-0.7182256937680535,-0.1740077147356248
C-013,Thomazeau,Croix-des-Bouquets,2,Q3 — Moyen-élevé,26.310944920139622,-0.1671060626368124,2.576349140641739,1.4543754326810003,0.6487586410000417,-0.7378953377079606,-1.2459927591511375
C-014,Ganthier,Croix-des-Bouquets,2,Q4 — Élevé,36.133965310566,1.1937440745685604,1.6417868327231278,1.3474163903651066,0.3929659082080105,-1.659879168455912,-0.069648671958666
C-015,Cornillon,Croix-des-Bouquets,0,Q2 — Moyen-faible,13.687085063583243,-1.915975629740548,-0.4965260148567837,0.5632837367469359,0.8846949759888955,-0.8492085477298159,0.3888465302842585
C-016,Fonds-Verrettes,Croix-des-Bouquets,2,Q3 — Moyen-élevé,29.015452923325537,0.2075679114491591,2.278137059101774,0.9052103692950768,0.3313270643395462,-0.4126172483244634,-0.4231304685467042
C-017,Arcahaie,Arcahaie,2,Q4 — Élevé,50.54614774970545,3.1903621889773066,1.561018981340475,2.2392215851207697,0.0376595456830505,2.270191345250678,-0.8939992643153971
C-018,Cabaret,Arcahaie,2,Q4 — Élevé,54.45285529147077,3.731585079995028,0.995392234035622,1.4760469199584294,0.4239309120978547,0.8888590700722184,0.6302325591651076
C-019,Anse-à-Galets,La Gonâve,2,Q4 — Élevé,46.05095208114557,2.5676120165062533,1.7998301010280189,1.4777263517709245,-0.0066921164163866,-2.142564617500236,-0.7991017209764282
C-020,Pointe-à-Raquette,La Gonâve,2,Q2 — Moyen-faible,22.922829653327675,-0.6364848221680772,2.014758479858027,2.8991945680977182,-1.5987036385416786,0.3902917922216117,-1.2569520988000458
C-021,Jacmel,Jacmel,1,Q4 — Élevé,54.26882949665813,3.706090729157258,-4.872537961897828,0.8562135277639842,-2.296894537638556,-1.98174974542224,-0.0843169836549242
C-022,Marigot,Jacmel,0,Q3 — Moyen-élevé,26.926334324226357,-0.0818519634187804,-2.376131571097704,0.7528791873674078,0.1773636236558161,0.153042721899607,-0.1662512534021563
C-023,Cayes-Jacmel,Jacmel,0,Q2 — Moyen-faible,17.93233892156124,-1.3278516041881352,-1.175592629689896,-0.5925632276468831,0.1026566359870017,0.2653099693618121,0.5028071237811877
C-024,La Vallée de Jacmel,Jacmel,0,Q3 — Moyen-élevé,23.00518056447923,-0.6250761877272082,-1.5495324235675851,-0.7028057788249207,-2.1448381465712085,-0.7988805489568609,0.7010281974519429
C-025,Bainet,Bainet,0,Q2 — Moyen-faible,12.918386443359502,-2.0224687022603383,-1.7927030600188265,0.665095224052883,0.2102114137654561,-0.6821166283548017,-0.1524705478885452
C-026,Côtes-de-Fer,Bainet,0,Q1 — Faible,7.477379333505514,-2.7762485965988057,-1.708302586084224,-0.3349662823009708,-0.402324701243578,-0.1777933798915473,-0.080545521677192
C-027,Belle-Anse,Belle-Anse,0,Q2 — Moyen-faible,14.129408066815978,-1.8546976016276249,-1.9658807286192976,1.6686250924361257,1.3803580756010003,-0.0902506807172971,0.5485652322228652
C-028,Grand-Gosier,Belle-Anse,0,Q1 — Faible,0.3215590772811261,-3.767593273740136,0.2432784782005914,-0.5267715169713049,0.390754272352295,1.3141114875338578,-1.2615558734158936
