axe,eta2_kmeans,eta2_quartiles_iift
Dim1,0.8001892886783667,0.7899814236866468
Dim2,0.7144602504952111,0.09100879870800105
Dim3,0.03234105344198798,0.0701423992775203
Dim4,0.004461132989238978,0.02399360608278097
Dim5,0.003379907629029567,0.07737300001056036
Dim6,0.0022762496163410383,0.012678434983238644
