id_commune,nom_commune,arrondissement,zone_wbg,urbain_rural,strate,brh_maison_de_transfert,brh_agent_non_bancaire,brh_banque,brh_atm,brh_microfinance,brh_caisse_populaire,brh_total_effectif,population_totale,population_urbaine,pop_masculine,pop_masculine_urbaine,pop_feminine,pop_feminine_urbaine,pop_masculine_18_plus,pop_masculine_18_plus_urbaine,pop_feminine_18_plus,pop_feminine_18_plus_urbaine,nb_menages,nb_menages_urbains,superficie_km2,superficie_urbaine_km2,taux_compte_formel,taux_compte_mobile,taux_utilisation_OTA,score_connaissance_fka,taux_connaissance_banque,taux_satisfaction_banque,taux_epargne_formelle,taux_endettement_formel,taux_telephone_mobile,taux_internet,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,taux_pauvrete_proxy,indice_privation_spatiale,classe_privation_spatiale,departement,classe_taille_population,classe_pauvrete,a_une_banque,profil_services_financiers,classe_taille_menage,part_urbaine,densite_hab_km2,densite_bancaire_10k,nb_types_services,taille_moyenne_menage
C-066,Gros-Morne,Gros-Morne,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),9,12,0,0,2,3,26,170905,82196,85717,40562,85188,41634,51218,23734,53219,25825,36419,16880,397.03,2.12,27.25,9.03,71.97,3.04,100.0,80.27,3.3,2.8,58.34,9.55,Proche,Mi-urbaine,Élevée,Faible,Élevée,65.2,0.749,Élevée,Artibonite,Grande,Élevée,Non,Microfinance sans banque,Moyenne,0.4809455545478482,430.45865551721533,1.5213130101518388,4,4.692742799088388
C-067,Terre-Neuve,Gros-Morne,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,2,0,0,0,0,3,34305,4685,17465,2601,16840,2084,10264,1610,10205,1314,7764,1344,176.83,0.11,18.11,10.79,74.87,3.3,85.63,69.79,2.62,3.09,77.56,10.24,Proche,Rurale,Faible,Faible,Moyenne,44.8,0.181,Faible,Artibonite,Petite,Faible,Non,Aucune institution formelle,Petite,0.13656901326337267,193.99988689701973,0.8745080891998251,2,4.418469860896445
C-068,Anse-Rouge,Gros-Morne,Non-connectée (H-Ile),Urbain,Urbaine-Non-connectée (H-Ile),2,5,0,0,0,1,8,47636,29562,23845,14776,23791,14786,13931,8375,14994,9323,11066,6883,434.35,1.6,20.76,9.84,44.0,3.68,87.01,64.18,12.7,10.8,47.74,39.13,Proche,Mi-urbaine,Faible,Faible,Moyenne,68.4,0.844,Élevée,Artibonite,Moyenne,Élevée,Non,Caisse populaire uniquement,Petite,0.6205810731379628,109.67192356394612,1.6794021328407087,3,4.304717151635641
C-069,Saint-Marc,Saint-Marc,Connectée (RN),Urbain,Urbaine-Connectée (RN),77,79,4,3,8,4,175,292716,237686,141508,113859,151208,123827,87295,69954,96516,79258,63127,49361,556.56,11.19,13.79,2.53,44.29,4.15,74.09,74.2,14.27,9.15,92.42,36.69,Proche,Urbaine,Élevée,Élevée,Élevée,74.0,0.951,Élevée,Artibonite,Grande,Élevée,Oui,Pôle financier complet,Moyenne,0.8120020770986212,525.9379042690815,5.978491097172686,6,4.636938235620257
C-070,Verrettes,Saint-Marc,Connectée (RN),Urbain,Urbaine-Connectée (RN),8,16,0,0,0,3,27,158965,93511,79060,46392,79905,47119,48531,28690,51899,31100,41201,24977,356.72,5.6,14.72,2.66,53.44,3.92,100.0,76.61,15.14,9.14,60.44,43.98,Proche,Mi-urbaine,Élevée,Faible,Moyenne,50.7,0.435,Moyenne,Artibonite,Grande,Faible,Non,Caisse populaire uniquement,Petite,0.5882489856257667,445.62962547656423,1.698487088352782,3,3.858280138831582
C-071,La Chapelle,Saint-Marc,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),2,2,0,0,0,0,4,34635,14907,17595,7522,17040,7385,10480,4425,10414,4510,8587,3751,143.6,2.82,23.06,11.82,82.07,3.51,90.75,71.8,2.2,2.06,64.49,11.69,Proche,Mi-urbaine,Faible,Faible,Moyenne,55.7,0.595,Moyenne,Artibonite,Petite,Moyenne,Non,Aucune institution formelle,Petite,0.43040277176266784,241.1908077994429,1.15490111159232,2,4.033422615581693
C-072,Dessalines,Dessalines,Connectée (RN),Rural,Rurale-Connectée (RN),9,20,0,0,1,2,32,199677,77145,100339,38537,99338,38608,60246,22336,61853,23481,46858,17479,474.29,2.22,39.05,20.54,84.91,3.84,84.78,58.8,3.22,1.6,56.21,12.62,Proche,Mi-urbaine,Élevée,Faible,Élevée,52.9,0.425,Moyenne,Artibonite,Grande,Faible,Non,Microfinance sans banque,Petite,0.3863489535599994,421.0019186573615,1.6025881799105555,4,4.261321439241965
C-073,Petite-Rivière-de-l'Artibonite,Dessalines,Non-connectée (H-Ile),Urbain,Urbaine-Non-connectée (H-Ile),7,13,0,0,3,2,25,187423,99556,94201,48831,93222,50725,57201,29383,59090,32216,46825,24910,506.71,4.2,26.16,7.34,62.58,3.55,89.38,74.92,17.9,10.78,81.28,36.6,Proche,Mi-urbaine,Moyenne,Faible,Élevée,67.3,0.683,Moyenne,Artibonite,Grande,Élevée,Non,Microfinance sans banque,Petite,0.531183472679447,369.88218112924557,1.3338811138440854,4,4.00262680192205
C-074,Grande-Saline,Dessalines,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,1,0,0,0,0,2,25504,11314,13425,6412,12079,4902,10109,5619,9086,4279,5920,1835,51.97,0.26,26.32,11.94,100.0,3.14,100.0,69.48,3.26,4.04,78.81,10.05,Proche,Mi-urbaine,Élevée,Faible,Moyenne,51.5,0.378,Faible,Artibonite,Petite,Faible,Non,Aucune institution formelle,Petite,0.44361668757841904,490.74466038098905,0.7841907151819323,2,4.308108108108108
C-075,Desdunes,Dessalines,Non-connectée (H-Ile),Urbain,Urbaine-Non-connectée (H-Ile),6,6,0,0,0,1,13,40645,39127,20388,19694,20257,19433,13029,12601,13658,13129,11174,10803,99.49,6.12,19.25,8.84,51.32,4.42,78.98,69.4,13.48,13.96,60.6,51.79,Proche,Urbaine,Moyenne,Moyenne,Moyenne,57.5,0.455,Moyenne,Artibonite,Moyenne,Moyenne,Non,Caisse populaire uniquement,Petite,0.9626522327469553,408.5335209568801,3.198425390576947,3,3.6374619652765348
